customer_id,recency,frequency,monetary,R,F,M,segment
BE-11410,99,5,2261.438000,3,2,3,Hibernating
BE-11455,255,6,1727.652000,1,3,2,At Risk
BF-10975,92,7,599.798000,3,3,1,Loyal
BF-11005,40,4,1333.880000,4,1,2,New / Promising
BF-11020,75,8,2888.506000,3,4,4,Loyal
BF-11080,26,3,272.950000,5,1,1,New / Promising
BF-11170,17,11,5907.972000,5,5,5,Champions
BF-11215,66,4,1585.162000,3,1,2,Hibernating
BF-11275,58,3,791.990000,3,1,1,Hibernating
BG-11035,29,8,2798.948000,4,4,4,Champions
BG-11695,37,6,1874.172000,4,3,3,Loyal
BG-11740,58,6,1006.356000,3,3,2,Loyal
BH-11710,24,8,6255.351000,5,4,5,Champions
BK-11260,78,6,659.138000,3,3,1,Loyal
BM-11140,308,4,11789.630000,1,1,5,Hibernating
BM-11575,101,6,808.162000,3,3,1,Loyal
BM-11650,34,11,7294.185000,4,5,5,Champions
BM-11785,219,10,1338.842000,2,5,2,At Risk
BN-11470,25,4,265.296000,5,1,1,New / Promising
BN-11515,10,5,1459.344000,5,2,2,New / Promising
BO-11350,138,5,2682.728000,2,2,3,Hibernating
BO-11425,76,2,130.830000,3,1,1,Hibernating
BP-11050,84,5,983.420000,3,2,2,Hibernating
BP-11095,18,12,2442.044000,5,5,3,Champions
BP-11155,90,6,1697.861000,3,3,2,Loyal
BP-11185,2,9,3675.861000,5,5,4,Champions
BP-11230,40,5,1181.490000,4,2,2,New / Promising
BP-11290,13,7,2475.157000,5,3,3,Loyal
BS-11365,559,5,10501.653000,1,2,5,Hibernating
BS-11380,29,5,3887.834000,4,2,4,New / Promising
BS-11590,36,6,2454.928000,4,3,3,Loyal
BS-11665,583,3,3288.110000,1,1,4,Hibernating
BS-11755,2,7,2562.382000,5,3,3,Loyal
BS-11800,266,2,949.430000,1,1,1,Hibernating
BT-11305,337,5,2567.656000,1,2,3,Hibernating
BT-11395,303,6,2186.613000,1,3,3,At Risk
BT-11440,561,4,603.876000,1,1,1,Hibernating
BT-11485,660,2,415.196000,1,1,1,Hibernating
BT-11530,92,5,2684.492000,3,2,3,Hibernating
BT-11680,21,7,3196.752000,5,3,4,Loyal
BV-11245,335,5,1523.273000,1,2,2,Hibernating
BW-11065,213,3,385.516000,2,1,1,Hibernating
BW-11110,122,8,4750.358000,2,4,5,At Risk
BW-11200,204,6,1738.406000,2,3,2,At Risk
CA-11965,97,6,3789.722800,3,3,4,Loyal
CA-12055,402,5,1679.724000,1,2,2,Hibernating
CA-12265,57,9,2648.287200,3,5,3,Loyal
CA-12310,14,4,1421.954000,5,1,2,New / Promising
CA-12775,121,7,3041.566000,2,3,4,At Risk
CB-12025,48,10,6076.139000,4,5,5,Champions
CB-12415,27,8,1949.200000,5,4,3,Champions
CB-12535,198,8,4246.455500,2,4,4,At Risk
CC-12100,458,6,1770.945000,1,3,3,At Risk
CC-12145,107,7,2471.650000,2,3,3,At Risk
CC-12220,21,12,3913.418000,5,5,4,Champions
CC-12370,44,5,12129.072000,4,2,5,New / Promising
CC-12430,1,10,2870.050000,5,5,4,Champions
CC-12475,40,9,1659.438000,4,5,2,Champions
CC-12550,28,3,113.832000,4,1,1,New / Promising
CC-12610,35,7,2540.631000,4,3,3,Loyal
CC-12670,30,7,2269.701500,4,3,3,Loyal
CC-12685,799,4,2854.115000,1,1,4,Hibernating
CD-11920,41,5,2033.968000,4,2,3,New / Promising
CD-11980,55,3,639.766000,3,1,1,Hibernating
CD-12280,43,2,1205.584000,4,1,2,New / Promising
CD-12790,400,5,1860.732000,1,2,3,Hibernating
CG-12040,50,6,904.468000,4,3,1,Loyal
CG-12520,339,3,1148.780000,1,1,2,Hibernating
CH-12070,691,3,1537.236000,1,1,2,Hibernating
CJ-11875,366,1,16.520000,1,1,1,Hibernating
CJ-12010,190,8,11164.974000,2,4,5,At Risk
CK-12205,40,13,3154.855000,4,5,4,Champions
CK-12325,121,5,2945.321000,2,2,4,Hibernating
CK-12595,44,11,2372.750000,4,5,3,Champions
CK-12760,83,9,1582.109000,3,5,2,Loyal
CL-11890,107,4,1262.014000,2,1,2,Hibernating
CL-12565,285,12,10880.546000,1,5,5,At Risk
CL-12700,106,5,2353.586000,2,2,3,Hibernating
CM-11815,132,6,1673.888000,2,3,2,At Risk
CM-11935,708,2,565.392000,1,1,1,Hibernating
CM-12115,9,4,1661.610000,5,1,2,New / Promising
CM-12160,27,6,2533.314000,5,3,3,Loyal
CM-12190,9,6,1475.144000,5,3,2,Loyal
CM-12235,386,5,2305.712000,1,2,3,Hibernating
CM-12385,38,4,8954.020000,4,1,5,New / Promising
CM-12445,437,3,287.990000,1,1,1,Hibernating
CM-12655,28,6,6339.557600,4,3,5,Loyal
CM-12715,1035,4,3984.452400,1,1,4,Hibernating
CP-12085,83,8,5402.254000,3,4,5,Loyal
CP-12340,161,8,5888.275000,2,4,5,At Risk
CR-12580,58,4,2148.852000,3,1,3,Hibernating
CR-12625,471,3,475.900000,1,1,1,Hibernating
CR-12730,79,4,1600.550000,3,1,2,Hibernating
CR-12820,86,3,1397.872400,3,1,2,Hibernating
CS-11845,92,5,1278.954000,3,2,2,Hibernating
CS-11860,163,6,537.632000,2,3,1,At Risk
CS-11950,26,11,3036.547000,5,5,4,Champions
CS-12130,490,4,884.640000,1,1,1,Hibernating
CS-12175,233,5,844.458000,1,2,1,Hibernating
CS-12250,27,12,2754.216000,5,5,4,Champions
CS-12355,7,11,3202.162000,5,5,4,Champions
CS-12400,3,9,3651.858500,5,5,4,Champions
CS-12460,28,2,550.644000,4,1,1,New / Promising
CS-12490,425,4,1077.228500,1,1,2,Hibernating
CS-12505,59,6,5690.055000,3,3,5,Loyal
CT-11995,97,8,3241.898000,3,4,4,Loyal
CV-12295,255,5,2830.628000,1,2,4,Hibernating
CV-12805,6,9,2370.313600,5,5,3,Champions
CW-11905,23,6,1136.592000,5,3,2,Loyal
CY-12745,61,8,2900.026000,3,4,4,Loyal
Co-12640,550,5,1300.076000,1,2,2,Hibernating
DA-13450,353,4,156.760000,1,1,1,Hibernating
DB-12910,22,8,2171.599000,5,4,3,Champions
DB-12970,242,5,2839.227200,1,2,4,Hibernating
DB-13060,17,7,4531.646000,5,3,5,Loyal
DB-13120,49,7,2973.094000,4,3,4,Loyal
DB-13210,10,10,2332.577000,5,5,3,Champions
DB-13270,54,8,4655.897000,4,4,5,Champions
DB-13360,265,5,1081.466000,1,2,2,Hibernating
DB-13405,188,4,1711.692000,2,1,2,Hibernating
DB-13555,108,7,3908.802800,2,3,4,At Risk
DB-13615,34,7,1989.050000,4,3,3,Loyal
DB-13660,13,7,1155.202000,5,3,2,Loyal
DC-12850,38,9,3336.168000,4,5,4,Champions
DC-13285,24,5,1174.618000,5,2,2,New / Promising
DD-13570,42,6,269.542000,4,3,1,Loyal
DE-13255,719,5,2550.874000,1,2,3,Hibernating
DF-13135,700,3,2390.534000,1,1,3,Hibernating
DG-13300,33,5,3195.818000,4,2,4,New / Promising
DH-13075,278,6,4932.872000,1,3,5,At Risk
DH-13675,776,4,1043.096000,1,1,2,Hibernating
DJ-13420,638,4,2012.520000,1,1,3,Hibernating
DJ-13510,49,8,2501.688000,4,4,3,Champions
DJ-13630,13,3,3356.398000,5,1,4,New / Promising
DK-12835,22,12,3256.480000,5,5,4,Champions
DK-12895,46,5,4282.176000,4,2,4,New / Promising
DK-12985,8,5,1687.040000,5,2,2,New / Promising
DK-13090,43,7,2650.557000,4,3,3,Loyal
DK-13150,11,2,797.832000,5,1,1,New / Promising
DK-13225,11,9,4802.394000,5,5,5,Champions
DK-13375,20,8,3318.486000,5,4,4,Champions
DL-12865,101,8,1503.112000,3,4,2,Loyal
DL-12925,58,6,3272.200000,3,3,4,Loyal
DL-13315,23,8,1458.258000,5,4,2,Champions
DL-13330,58,4,585.020000,3,1,1,Hibernating
DL-13495,77,8,3539.322000,3,4,4,Loyal
DM-12955,115,7,1322.034000,2,3,2,At Risk
DM-13015,58,7,6345.103000,3,3,5,Loyal
DM-13345,23,8,4074.472000,5,4,4,Champions
DM-13525,482,3,1376.792000,1,1,2,Hibernating
DN-13690,218,7,2139.790000,2,3,3,At Risk
DO-13435,134,9,1300.031500,2,5,2,At Risk
DO-13645,27,7,1267.316000,5,3,2,Loyal
DP-13000,127,9,1050.636000,2,5,2,At Risk
DP-13105,7,8,2215.002000,5,4,3,Champions
DP-13165,812,2,1058.616000,1,1,2,Hibernating
DP-13390,359,9,5480.724000,1,5,5,At Risk
DR-12880,4,9,6528.034000,5,5,5,Champions
DR-12940,51,8,8350.868000,4,4,5,Champions
DS-13030,94,4,1762.213000,3,1,3,Hibernating
DS-13180,24,9,2881.812800,5,5,4,Champions
DV-13045,20,5,1119.483000,5,2,2,New / Promising
DV-13465,30,6,3341.587000,4,3,4,Loyal
DW-13195,70,6,1080.751000,3,3,2,Loyal
DW-13480,218,5,5271.628000,2,2,5,Hibernating
DW-13540,99,5,344.080000,3,2,1,Hibernating
DW-13585,243,7,1204.854000,1,3,2,At Risk
Dl-13600,120,5,755.602000,2,2,1,Hibernating
Dp-13240,85,11,7198.761000,3,5,5,Loyal
EA-14035,153,13,2846.705000,2,5,4,At Risk
EB-13705,49,9,3644.978000,4,5,4,Champions
EB-13750,36,10,3236.314000,4,5,4,Champions
EB-13840,91,5,4358.128000,3,2,5,Hibernating
EB-13870,101,10,2767.219000,3,5,4,Loyal
EB-13930,162,5,944.600000,2,2,1,Hibernating
EB-13975,1,4,1643.255000,5,1,2,New / Promising
EB-14110,114,6,3071.126000,2,3,4,At Risk
EB-14170,83,6,1186.326000,3,3,2,Loyal
EC-14050,54,5,461.914000,3,2,1,Hibernating
ED-13885,136,8,3484.920000,2,4,4,At Risk
EG-13900,23,5,1832.020000,5,2,3,New / Promising
EH-13765,136,12,10310.880000,2,5,5,At Risk
EH-13945,218,8,684.171000,2,4,1,At Risk
EH-13990,406,6,825.950000,1,3,1,At Risk
EH-14005,3,7,1219.530000,5,3,2,Loyal
EH-14125,153,10,3082.653000,2,5,4,At Risk
EH-14185,106,6,923.884000,2,3,1,At Risk
EJ-13720,303,4,2162.174000,1,1,3,Hibernating
EJ-14155,58,5,2656.691000,3,2,3,Hibernating
EK-13795,45,4,1303.478000,4,1,2,New / Promising
EL-13735,78,2,124.280000,3,1,1,Hibernating
EM-13810,133,5,2567.010000,2,2,3,Hibernating
EM-13825,56,8,2339.598000,3,4,3,Loyal
EM-13960,152,5,933.704000,2,2,1,Hibernating
EM-14065,48,4,228.990000,4,1,1,New / Promising
EM-14095,114,4,1041.042000,2,1,2,Hibernating
EM-14140,49,6,4588.436000,4,3,5,Loyal
EM-14200,159,3,366.822000,2,1,1,Hibernating
EN-13780,288,4,2199.366000,1,1,3,Hibernating
EP-13915,13,17,5478.060800,5,5,5,Champions
ER-13855,422,3,1245.788000,1,1,2,Hibernating
ES-14020,41,5,3510.458000,4,2,4,New / Promising
ES-14080,29,9,4657.924000,4,5,5,Champions
FA-14230,98,7,2984.054000,3,3,4,Loyal
FC-14245,71,7,3418.742000,3,3,4,Loyal
FC-14335,185,7,3889.366000,2,3,4,At Risk
FG-14260,35,7,1383.144000,4,3,2,Loyal
FH-14275,38,10,4256.272000,4,5,4,Champions
FH-14350,213,4,2271.284000,2,1,3,Hibernating
FH-14365,6,8,6987.196000,5,4,5,Champions
FM-14215,8,10,2456.638000,5,5,3,Champions
FM-14290,37,9,3736.198000,4,5,4,Champions
FM-14380,146,9,2523.266000,2,5,3,At Risk
FO-14305,39,10,2678.438000,4,5,3,Champions
FP-14320,24,8,4046.746000,5,4,4,Champions
FW-14395,363,3,79.750000,1,1,1,Hibernating
GA-14515,150,8,3919.776000,2,4,4,At Risk
GA-14725,6,11,1398.382000,5,5,2,Champions
GB-14530,63,11,1568.440000,3,5,2,Loyal
GB-14575,14,5,4716.288000,5,2,5,New / Promising
GD-14590,6,4,1888.070000,5,1,3,New / Promising
GG-14650,44,9,2224.000000,4,5,3,Champions
GH-14410,76,9,2819.467000,3,5,4,Loyal
GH-14425,51,4,4172.846000,4,1,4,New / Promising
GH-14485,388,2,1361.244000,1,1,2,Hibernating
GH-14665,3,2,146.940800,5,1,1,New / Promising
GK-14620,113,9,6497.270000,2,5,5,At Risk
GM-14440,84,7,3582.820000,3,3,4,Loyal
GM-14455,17,6,3078.624000,5,3,4,Loyal
GM-14500,107,10,1255.682000,2,5,2,At Risk
GM-14680,153,6,3163.628000,2,3,4,At Risk
GM-14695,118,3,6049.966000,2,1,5,Hibernating
GP-14740,765,2,236.530000,1,1,1,Hibernating
GR-14560,1136,2,1284.380000,1,1,2,Hibernating
GT-14635,57,3,9351.212000,3,1,5,Hibernating
GT-14710,37,11,11820.120000,4,5,5,Champions
GT-14755,35,4,226.436000,4,1,1,New / Promising
GW-14605,29,7,2189.019000,4,3,3,Loyal
GZ-14470,8,9,4355.150000,5,5,5,Champions
GZ-14545,158,4,2454.622000,2,1,3,Hibernating
HA-14905,70,7,2163.300000,3,3,3,Loyal
HA-14920,21,8,2584.158000,5,4,3,Champions
HD-14785,769,3,251.360000,1,1,1,Hibernating
HE-14800,13,4,883.532000,5,1,1,New / Promising
HF-14995,22,7,2533.164000,5,4,3,Champions
HG-14845,55,5,785.628000,3,2,1,Hibernating
HG-14965,24,12,3247.642000,5,5,4,Champions
HG-15025,7,7,3690.284000,5,4,4,Champions
HH-15010,73,2,218.668000,3,1,1,Hibernating
HJ-14875,127,5,358.100000,2,2,1,Hibernating
HK-14890,152,8,4877.784000,2,4,5,At Risk
HL-15040,44,6,12873.298000,4,3,5,Loyal
HM-14860,3,10,8236.764800,5,5,5,Champions
HM-14980,248,4,736.276000,1,1,1,Hibernating
HP-14815,31,7,1990.314000,4,4,3,Champions
HR-14770,14,5,1299.288000,5,2,2,New / Promising
HR-14830,160,7,5248.787000,2,4,5,At Risk
HW-14935,118,8,9300.254000,2,4,5,At Risk
HZ-14950,36,5,886.520000,4,2,1,New / Promising
IG-15085,72,4,744.574000,3,1,1,Hibernating
IL-15100,143,7,5040.736000,2,4,5,At Risk
IM-15055,410,3,2872.630000,1,1,4,Hibernating
IM-15070,391,7,4930.474000,1,4,5,At Risk
JA-15970,93,8,6491.026000,3,4,5,Loyal
JB-15400,8,10,1791.605000,5,5,3,Champions
JB-15925,737,3,900.552000,1,1,1,Hibernating
JB-16000,44,7,644.118800,4,4,1,Champions
JB-16045,8,5,2518.115000,5,2,3,New / Promising
JC-15340,115,4,71.263000,2,1,1,Hibernating
JC-15385,176,1,1058.108000,2,1,2,Hibernating
JC-15775,159,9,2772.055000,2,5,4,At Risk
JC-16105,58,5,858.576000,3,2,1,Hibernating
JD-15790,118,5,2152.352000,2,2,3,Hibernating
JD-15895,395,11,7610.864000,1,5,5,At Risk
JD-16015,113,6,385.430000,2,3,1,At Risk
JD-16060,301,3,695.442000,1,1,1,Hibernating
JD-16150,42,8,8828.030500,4,4,5,Champions
JE-15475,194,6,1388.682000,2,3,2,At Risk
JE-15610,49,7,7754.976000,4,4,5,Champions
JE-15715,47,10,8697.843000,4,5,5,Champions
JE-15745,52,13,6760.815000,4,5,5,Champions
JE-16165,21,3,2697.248000,5,1,3,New / Promising
JF-15190,66,7,2279.586000,3,4,3,Loyal
JF-15295,226,5,955.124000,1,2,1,Hibernating
JF-15355,106,6,1911.844000,2,3,3,At Risk
JF-15415,3,6,2371.448000,5,3,3,Loyal
JF-15490,122,11,1082.918000,2,5,2,At Risk
JF-15565,55,8,4198.332000,3,4,4,Loyal
JG-15115,758,3,2358.676000,1,1,3,Hibernating
JG-15160,2,11,6366.392000,5,5,5,Champions
JG-15310,3,6,2240.580000,5,3,3,Loyal
JG-15805,224,6,1507.018000,2,3,2,At Risk
JH-15430,6,4,309.281000,5,1,1,New / Promising
JH-15820,175,6,528.910000,2,3,1,At Risk
JH-15910,42,7,959.477000,4,4,1,Champions
JH-15985,30,6,7954.998000,4,3,5,Loyal
JH-16180,405,4,2256.394000,1,1,3,Hibernating
JJ-15445,484,5,709.178000,1,2,1,Hibernating
JJ-15760,753,2,195.000000,1,1,1,Hibernating
JK-15205,62,5,4427.142000,3,2,5,Hibernating
JK-15325,288,3,383.812000,1,1,1,Hibernating
JK-15370,45,8,2709.632000,4,4,3,Champions
JK-15625,62,7,3760.028000,3,4,4,Loyal
JK-15640,181,9,4760.434000,2,5,5,At Risk
JK-15730,85,10,4867.200000,3,5,5,Loyal
JK-16090,29,3,3747.668000,4,1,4,New / Promising
JK-16120,118,10,2932.484000,2,5,4,At Risk
JL-15130,9,6,1214.956000,5,3,2,Loyal
JL-15175,7,5,1571.523000,5,2,2,New / Promising
JL-15235,120,5,2203.700000,2,2,3,Hibernating
JL-15505,50,6,3173.874000,4,3,4,Loyal
JL-15835,22,11,9799.923000,5,5,5,Champions
JL-15850,615,6,2725.256000,1,3,3,At Risk
JM-15250,38,6,3159.122000,4,3,4,Loyal
JM-15265,38,5,1804.146000,4,2,3,New / Promising
JM-15535,103,7,1733.443000,3,4,2,Loyal
JM-15580,1,5,303.948000,5,2,1,New / Promising
JM-15655,9,5,864.947000,5,2,1,New / Promising
JM-15865,110,7,7625.076000,2,4,5,At Risk
JM-16195,58,10,2833.926000,3,5,4,Loyal
JO-15145,58,9,3254.949000,3,5,4,Loyal
JO-15280,93,6,1934.272000,3,3,3,Loyal
JO-15550,216,5,1090.838000,2,2,2,Hibernating
JP-15460,38,7,1669.135000,4,4,2,Champions
JP-15520,9,7,3635.594000,5,4,4,Champions
JP-16135,103,9,1707.710000,3,5,2,Loyal
JR-15670,594,2,1156.658000,1,1,2,Hibernating
JR-15700,69,1,863.880000,3,1,1,Hibernating
JR-16210,34,5,2201.686000,4,2,3,New / Promising
JS-15595,120,4,1417.654000,2,1,2,Hibernating
JS-15685,43,4,1131.064000,4,1,2,New / Promising
JS-15880,535,5,3868.020000,1,2,4,Hibernating
JS-15940,464,5,469.169000,1,2,1,Hibernating
JS-16030,29,6,2516.494000,4,3,3,Loyal
JW-15220,43,6,7721.714000,4,3,5,Loyal
JW-15955,6,7,1244.086000,5,4,2,Champions
JW-16075,462,4,1428.731000,1,1,2,Hibernating
KA-16525,37,7,1519.506000,4,4,2,Champions
KB-16240,5,7,3152.615000,5,4,4,Champions
KB-16315,297,9,1569.464000,1,5,2,At Risk
KB-16405,118,3,908.821000,2,1,1,Hibernating
KB-16585,231,12,2744.742000,1,5,3,At Risk
KB-16600,2,7,983.922000,5,4,2,Champions
KC-16255,408,6,2120.954000,1,3,3,At Risk
KC-16540,98,4,3908.262000,3,1,4,Hibernating
KC-16675,58,4,1146.050000,3,1,2,Hibernating
KD-16270,485,5,8282.358000,1,2,5,Hibernating
KD-16345,42,6,1888.964000,4,3,3,Loyal
KD-16495,113,12,8181.256000,2,5,5,At Risk
KD-16615,290,5,2243.510000,1,2,3,Hibernating
KE-16420,27,8,1686.731200,5,4,2,Champions
KF-16285,98,7,10604.266000,3,4,5,Loyal
KH-16330,41,8,3312.864000,4,4,4,Champions
KH-16360,2,6,3100.612000,5,3,4,Loyal
KH-16510,23,7,5952.859000,5,4,5,Champions
KH-16630,59,9,3918.966000,3,5,4,Loyal
KH-16690,3,7,5990.799000,5,4,5,Champions
KL-16555,17,8,5016.488000,5,4,5,Champions
KL-16645,48,12,14175.229000,4,5,5,Champions
KM-16225,15,6,2260.958000,5,3,3,Loyal
KM-16375,57,8,5620.186000,3,4,5,Loyal
KM-16660,16,5,453.538000,5,2,1,New / Promising
KM-16720,29,8,4909.472000,4,4,5,Champions
KN-16390,20,9,2617.272000,5,5,3,Champions
KN-16450,53,5,2171.962000,4,2,3,New / Promising
KN-16705,99,8,2280.580000,3,4,3,Loyal
KS-16300,296,3,88.472000,1,1,1,Hibernating
KT-16465,392,7,3057.100000,1,4,4,At Risk
KT-16480,101,10,4642.088400,3,5,5,Loyal
KW-16435,97,5,4416.520000,3,2,5,Hibernating
KW-16570,771,4,449.096000,1,1,1,Hibernating
LA-16780,155,11,8673.222000,2,5,5,At Risk
LB-16735,49,3,50.188000,4,1,1,New / Promising
LB-16795,153,8,4985.676000,2,4,5,At Risk
LC-16870,28,8,2580.704000,4,4,3,Champions
LC-16885,17,12,7663.126000,5,5,5,Champions
LC-16930,42,8,4492.946000,4,4,5,Champions
LC-16960,437,4,3246.626000,1,1,4,Hibernating
LC-17050,55,5,2095.064000,3,2,3,Hibernating
LC-17140,14,9,2633.582000,5,5,3,Champions
LD-16855,553,1,5.304000,1,1,1,Hibernating
LD-17005,415,4,1961.934000,1,1,3,Hibernating
LE-16810,22,6,1469.450000,5,3,2,Loyal
LF-17185,23,7,3930.509000,5,4,4,Champions
LH-16750,152,3,287.426000,2,1,1,Hibernating
LH-16900,22,9,2295.332000,5,5,3,Champions
LH-17020,240,4,318.239000,1,1,1,Hibernating
LH-17155,386,9,1739.689000,1,5,3,At Risk
LL-16840,250,6,2741.204000,1,3,3,At Risk
LM-17065,392,5,1346.774000,1,2,2,Hibernating
LO-17170,3,5,644.350000,5,2,1,New / Promising
LP-17080,41,4,756.606000,4,1,1,New / Promising
LP-17095,10,7,3653.399000,5,4,4,Champions
LR-16915,27,6,5142.892000,4,3,5,Loyal
LR-17035,133,5,1879.306000,2,2,3,Hibernating
LS-16945,179,6,2845.270000,2,3,4,At Risk
LS-16975,21,9,2988.674000,5,5,4,Champions
LS-17200,97,6,1010.256000,3,3,2,Loyal
LS-17230,777,3,368.880000,1,1,1,Hibernating
LS-17245,35,6,1008.136000,4,3,2,Loyal
LT-16765,27,3,329.876000,4,1,1,New / Promising
LT-17110,35,8,2936.252000,4,4,4,Champions
LW-16825,89,5,2238.061000,3,2,3,Hibernating
LW-16990,34,6,3230.308000,4,3,4,Loyal
LW-17125,206,3,1259.040000,2,1,2,Hibernating
LW-17215,22,7,5420.514000,5,4,5,Champions
MA-17560,65,11,4299.161000,3,5,5,Loyal
MA-17995,187,6,2453.284000,2,3,3,At Risk
MB-17305,49,10,1548.702000,4,5,2,Champions
MB-18085,45,7,1428.231000,4,4,2,Champions
MC-17275,77,8,2725.982000,3,4,3,Loyal
MC-17425,400,5,4432.138000,1,2,5,Hibernating
MC-17575,28,8,1303.893000,4,4,2,Champions
MC-17590,52,6,2426.067000,4,3,3,Loyal
MC-17605,113,8,2258.192000,2,4,3,At Risk
MC-17635,190,4,795.154000,2,1,1,Hibernating
MC-17845,2,7,3805.714000,5,4,4,Champions
MC-18100,42,10,2218.980000,4,5,3,Champions
MC-18130,370,5,1581.998000,1,2,2,Hibernating
MD-17350,118,7,3766.382000,2,4,4,At Risk
MD-17860,37,5,1204.910000,4,2,2,New / Promising
ME-17320,43,10,10663.728000,4,5,5,Champions
ME-17725,29,8,1908.453200,4,4,3,Champions
ME-18010,93,4,1256.944000,3,2,2,Hibernating
MF-17665,422,5,937.039000,1,2,1,Hibernating
MF-18250,8,5,1758.300000,5,2,3,New / Promising
MG-17650,30,7,3785.276000,4,4,4,Champions
MG-17680,93,4,2350.188000,3,2,3,Hibernating
MG-17695,556,3,1342.282000,1,1,2,Hibernating
MG-17875,117,5,1242.833000,2,2,2,Hibernating
MG-17890,100,9,776.384000,3,5,1,Loyal
MG-18145,85,4,3061.543000,3,2,4,Hibernating
MG-18205,265,1,16.739000,1,1,1,Hibernating
MH-17290,120,6,2394.025000,2,3,3,At Risk
MH-17440,377,4,400.016000,1,2,1,Hibernating
MH-17455,86,8,2456.182000,3,4,3,Loyal
MH-17620,156,4,1252.800000,2,2,2,Hibernating
MH-17785,99,7,2203.778000,3,4,3,Loyal
MH-18025,50,5,2984.948000,4,2,4,New / Promising
